Grid	Lat/Lon hddd¡ãmm'ss.s"
Datum	WGS 84

Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	19-09-17 10.53.46	2019/9/17 10:04:03 	0:48:15	15.0 km	0.0 kph	

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course						

Trackpoint	N23 7 15.1 E113 19 37.7	2019/9/17 10:15:52 	9 m			17 m	0:00:03		
Trackpoint	N23 7 15.0 E113 19 38.4	2019/9/17 10:15:55 	8 m			18 m	0:00:03		
Trackpoint	N23 7 15.0 E113 19 38.9	2019/9/17 10:15:58 	8 m			16 m	0:00:03		
Trackpoint	N23 7 14.9 E113 19 39.4	2019/9/17 10:16:01 	8 m			12 m	0:00:03		
Trackpoint	N23 7 14.8 E113 19 39.7	2019/9/17 10:16:06 	7 m			11 m	0:00:05		
Trackpoint	N23 7 14.6 E113 19 40.0	2019/9/17 10:16:09 	7 m			9 m	0:00:03		
Trackpoint	N23 7 14.3 E113 19 40.3	2019/9/17 10:16:12 	8 m			12 m	0:00:03		
Trackpoint	N23 7 14.0 E113 19 40.6	2019/9/17 10:16:15 	8 m			14 m	0:00:03		
Trackpoint	N23 7 13.6 E113 19 40.8	2019/9/17 10:16:18 	8 m			12 m	0:00:03		
Trackpoint	N23 7 13.2 E113 19 40.9	2019/9/17 10:16:21 	7 m			12 m	0:00:03		
Trackpoint	N23 7 12.8 E113 19 40.9	2019/9/17 10:16:24 	6 m			13 m	0:00:03		
Trackpoint	N23 7 12.2 E113 19 41.0	2019/9/17 10:16:27 	6 m			19 m	0:00:03		
Trackpoint	N23 7 11.4 E113 19 41.0	2019/9/17 10:16:30 	5 m			24 m	0:00:03		
Trackpoint	N23 7 10.6 E113 19 41.0	2019/9/17 10:16:33 	5 m			25 m	0:00:03		
Trackpoint	N23 7 09.8 E113 19 41.0	2019/9/17 10:16:36 	4 m			24 m	0:00:03		
Trackpoint	N23 7 09.1 E113 19 41.1	2019/9/17 10:16:39 	4 m			22 m	0:00:03		
Trackpoint	N23 7 08.3 E113 19 41.2	2019/9/17 10:16:42 	3 m			24 m	0:00:03		
Trackpoint	N23 7 08.1 E113 19 41.3	2019/9/17 10:16:43 	3 m			9 m	0:00:01		
Trackpoint	N23 7 07.8 E113 19 41.3	2019/9/17 10:16:44 	3 m			9 m	0:00:01		
Trackpoint	N23 7 07.5 E113 19 41.3	2019/9/17 10:16:45 	3 m			9 m	0:00:01		
Trackpoint	N23 7 06.7 E113 19 41.5	2019/9/17 10:16:48 	3 m			24 m	0:00:03		
Trackpoint	N23 7 06.5 E113 19 41.5	2019/9/17 10:16:49 	3 m			8 m	0:00:01		
Trackpoint	N23 7 06.2 E113 19 41.5	2019/9/17 10:16:50 	3 m			9 m	0:00:01		
Trackpoint	N23 7 05.9 E113 19 41.5	2019/9/17 10:16:51 	3 m			9 m	0:00:01		
Trackpoint	N23 7 05.6 E113 19 41.6	2019/9/17 10:16:52 	3 m			9 m	0:00:01		
Trackpoint	N23 7 05.3 E113 19 41.6	2019/9/17 10:16:53 	3 m			9 m	0:00:01		
Trackpoint	N23 7 05.0 E113 19 41.6	2019/9/17 10:16:54 	3 m			9 m	0:00:01		
Trackpoint	N23 7 04.7 E113 19 41.6	2019/9/17 10:16:55 	3 m			10 m	0:00:01		
Trackpoint	N23 7 04.4 E113 19 41.6	2019/9/17 10:16:56 	3 m			10 m	0:00:01		
Trackpoint	N23 7 04.0 E113 19 41.6	2019/9/17 10:16:57 	2 m			11 m	0:00:01		
Trackpoint	N23 7 03.7 E113 19 41.6	2019/9/17 10:16:58 	2 m			11 m	0:00:01		
Trackpoint	N23 7 03.3 E113 19 41.6	2019/9/17 10:16:59 	2 m			12 m	0:00:01		
Trackpoint	N23 7 02.9 E113 19 41.6	2019/9/17 10:17:00 	2 m			12 m	0:00:01		
Trackpoint	N23 7 02.5 E113 19 41.6	2019/9/17 10:17:01 	1 m			13 m	0:00:01		
Trackpoint	N23 7 02.0 E113 19 41.7	2019/9/17 10:17:02 	1 m			13 m	0:00:01		
Trackpoint	N23 7 01.6 E113 19 41.7	2019/9/17 10:17:03 	1 m			14 m	0:00:01		
Trackpoint	N23 7 01.2 E113 19 41.7	2019/9/17 10:17:04 	1 m			14 m	0:00:01		
Trackpoint	N23 7 00.7 E113 19 41.7	2019/9/17 10:17:05 	1 m			14 m	0:00:01		
Trackpoint	N23 7 00.3 E113 19 41.7	2019/9/17 10:17:06 	1 m			14 m	0:00:01		
Trackpoint	N23 6 59.8 E113 19 41.7	2019/9/17 10:17:07 	1 m			14 m	0:00:01		
Trackpoint	N23 6 59.4 E113 19 41.8	2019/9/17 10:17:08 	2 m			13 m	0:00:01		
Trackpoint	N23 6 58.9 E113 19 41.8	2019/9/17 10:17:09 	2 m			13 m	0:00:01		
Trackpoint	N23 6 58.5 E113 19 41.8	2019/9/17 10:17:10 	2 m			13 m	0:00:01		
Trackpoint	N23 6 58.1 E113 19 41.8	2019/9/17 10:17:11 	3 m			13 m	0:00:01		
Trackpoint	N23 6 57.7 E113 19 41.8	2019/9/17 10:17:12 	4 m			13 m	0:00:01		
Trackpoint	N23 6 57.3 E113 19 41.9	2019/9/17 10:17:13 	4 m			13 m	0:00:01		
Trackpoint	N23 6 56.9 E113 19 41.9	2019/9/17 10:17:14 	4 m			13 m	0:00:01		
Trackpoint	N23 6 56.5 E113 19 41.9	2019/9/17 10:17:15 	5 m			13 m	0:00:01		
Trackpoint	N23 6 56.1 E113 19 41.9	2019/9/17 10:17:16 	5 m			13 m	0:00:01		
Trackpoint	N23 6 55.7 E113 19 41.9	2019/9/17 10:17:17 	7 m			13 m	0:00:01		
Trackpoint	N23 6 55.3 E113 19 42.0	2019/9/17 10:17:18 	7 m			13 m	0:00:01		
Trackpoint	N23 6 54.8 E113 19 42.0	2019/9/17 10:17:19 	8 m			13 m	0:00:01		
Trackpoint	N23 6 54.4 E113 19 42.0	2019/9/17 10:17:20 	8 m			13 m	0:00:01		
Trackpoint	N23 6 54.0 E113 19 42.0	2019/9/17 10:17:21 	9 m			13 m	0:00:01		
Trackpoint	N23 6 53.5 E113 19 42.0	2019/9/17 10:17:22 	11 m			13 m	0:00:01		
Trackpoint	N23 6 53.1 E113 19 42.0	2019/9/17 10:17:23 	11 m			13 m	0:00:01		
Trackpoint	N23 6 52.7 E113 19 42.1	2019/9/17 10:17:24 	11 m			13 m	0:00:01		
Trackpoint	N23 6 52.3 E113 19 42.1	2019/9/17 10:17:25 	12 m			13 m	0:00:01		
Trackpoint	N23 6 51.8 E113 19 42.1	2019/9/17 10:17:26 	13 m			13 m	0:00:01		
Trackpoint	N23 6 51.4 E113 19 42.1	2019/9/17 10:17:27 	13 m			14 m	0:00:01		
Trackpoint	N23 6 51.0 E113 19 42.1	2019/9/17 10:17:28 	14 m			14 m	0:00:01		
Trackpoint	N23 6 50.5 E113 19 42.2	2019/9/17 10:17:29 	15 m			14 m	0:00:01		
Trackpoint	N23 6 50.1 E113 19 42.2	2019/9/17 10:17:30 	15 m			13 m	0:00:01		
Trackpoint	N23 6 49.6 E113 19 42.2	2019/9/17 10:17:31 	15 m			13 m	0:00:01		
Trackpoint	N23 6 49.2 E113 19 42.2	2019/9/17 10:17:32 	15 m			14 m	0:00:01		
Trackpoint	N23 6 48.8 E113 19 42.2	2019/9/17 10:17:33 	16 m			14 m	0:00:01		
Trackpoint	N23 6 48.3 E113 19 42.2	2019/9/17 10:17:34 	16 m			13 m	0:00:01		
Trackpoint	N23 6 47.9 E113 19 42.2	2019/9/17 10:17:35 	17 m			12 m	0:00:01		
Trackpoint	N23 6 47.5 E113 19 42.3	2019/9/17 10:17:36 	17 m			12 m	0:00:01		
Trackpoint	N23 6 47.1 E113 19 42.3	2019/9/17 10:17:37 	17 m			12 m	0:00:01		
Trackpoint	N23 6 46.7 E113 19 42.3	2019/9/17 10:17:38 	18 m			13 m	0:00:01		
Trackpoint	N23 6 46.3 E113 19 42.3	2019/9/17 10:17:39 	18 m			13 m	0:00:01		
Trackpoint	N23 6 45.9 E113 19 42.3	2019/9/17 10:17:40 	18 m			13 m	0:00:01		
Trackpoint	N23 6 45.5 E113 19 42.3	2019/9/17 10:17:41 	18 m			13 m	0:00:01		
Trackpoint	N23 6 45.0 E113 19 42.3	2019/9/17 10:17:42 	18 m			13 m	0:00:01		
Trackpoint	N23 6 44.6 E113 19 42.4	2019/9/17 10:17:43 	18 m			13 m	0:00:01		
Trackpoint	N23 6 44.2 E113 19 42.4	2019/9/17 10:17:44 	18 m			13 m	0:00:01		
Trackpoint	N23 6 43.8 E113 19 42.4	2019/9/17 10:17:45 	18 m			12 m	0:00:01		
Trackpoint	N23 6 43.4 E113 19 42.4	2019/9/17 10:17:46 	18 m			13 m	0:00:01		
Trackpoint	N23 6 43.0 E113 19 42.4	2019/9/17 10:17:47 	18 m			13 m	0:00:01		
Trackpoint	N23 6 42.5 E113 19 42.4	2019/9/17 10:17:48 	18 m			13 m	0:00:01		
Trackpoint	N23 6 42.1 E113 19 42.5	2019/9/17 10:17:49 	18 m			13 m	0:00:01		
Trackpoint	N23 6 41.7 E113 19 42.5	2019/9/17 10:17:50 	18 m			13 m	0:00:01		
Trackpoint	N23 6 41.2 E113 19 42.5	2019/9/17 10:17:51 	18 m			14 m	0:00:01		
Trackpoint	N23 6 40.8 E113 19 42.5	2019/9/17 10:17:52 	18 m			14 m	0:00:01		
Trackpoint	N23 6 40.3 E113 19 42.5	2019/9/17 10:17:53 	18 m			14 m	0:00:01		
Trackpoint	N23 6 39.9 E113 19 42.5	2019/9/17 10:17:54 	18 m			14 m	0:00:01		
Trackpoint	N23 6 39.4 E113 19 42.5	2019/9/17 10:17:55 	18 m			13 m	0:00:01		
Trackpoint	N23 6 39.0 E113 19 42.6	2019/9/17 10:17:56 	17 m			13 m	0:00:01		
Trackpoint	N23 6 38.6 E113 19 42.6	2019/9/17 10:17:57 	17 m			13 m	0:00:01		
Trackpoint	N23 6 38.2 E113 19 42.6	2019/9/17 10:17:58 	17 m			13 m	0:00:01		
Trackpoint	N23 6 37.8 E113 19 42.6	2019/9/17 10:17:59 	17 m			13 m	0:00:01		
Trackpoint	N23 6 37.4 E113 19 42.6	2019/9/17 10:18:00 	17 m			13 m	0:00:01		
Trackpoint	N23 6 37.0 E113 19 42.6	2019/9/17 10:18:01 	17 m			13 m	0:00:01		
Trackpoint	N23 6 36.5 E113 19 42.7	2019/9/17 10:18:02 	16 m			13 m	0:00:01		
Trackpoint	N23 6 36.1 E113 19 42.7	2019/9/17 10:18:03 	16 m			12 m	0:00:01		
Trackpoint	N23 6 35.8 E113 19 42.7	2019/9/17 10:18:04 	16 m			12 m	0:00:01		
Trackpoint	N23 6 35.4 E113 19 42.7	2019/9/17 10:18:05 	16 m			11 m	0:00:01		
Trackpoint	N23 6 35.0 E113 19 42.7	2019/9/17 10:18:06 	16 m			11 m	0:00:01		
Trackpoint	N23 6 34.7 E113 19 42.7	2019/9/17 10:18:07 	15 m			11 m	0:00:01		
Trackpoint	N23 6 34.3 E113 19 42.7	2019/9/17 10:18:08 	15 m			11 m	0:00:01		
Trackpoint	N23 6 34.0 E113 19 42.7	2019/9/17 10:18:09 	15 m			11 m	0:00:01		
Trackpoint	N23 6 33.6 E113 19 42.6	2019/9/17 10:18:10 	15 m			11 m	0:00:01		
Trackpoint	N23 6 33.2 E113 19 42.6	2019/9/17 10:18:11 	14 m			12 m	0:00:01		
Trackpoint	N23 6 32.8 E113 19 42.6	2019/9/17 10:18:12 	14 m			12 m	0:00:01		
Trackpoint	N23 6 32.4 E113 19 42.6	2019/9/17 10:18:13 	14 m			12 m	0:00:01		
Trackpoint	N23 6 32.0 E113 19 42.6	2019/9/17 10:18:14 	13 m			13 m	0:00:01		
Trackpoint	N23 6 31.6 E113 19 42.6	2019/9/17 10:18:15 	13 m			13 m	0:00:01		
Trackpoint	N23 6 31.2 E113 19 42.5	2019/9/17 10:18:16 	12 m			13 m	0:00:01		
Trackpoint	N23 6 30.8 E113 19 42.5	2019/9/17 10:18:17 	12 m			13 m	0:00:01		
Trackpoint	N23 6 30.4 E113 19 42.5	2019/9/17 10:18:18 	11 m			13 m	0:00:01		
Trackpoint	N23 6 29.9 E113 19 42.5	2019/9/17 10:18:19 	11 m			13 m	0:00:01		
Trackpoint	N23 6 29.5 E113 19 42.4	2019/9/17 10:18:20 	10 m			13 m	0:00:01		
Trackpoint	N23 6 29.1 E113 19 42.4	2019/9/17 10:18:21 	10 m			12 m	0:00:01		
Trackpoint	N23 6 28.7 E113 19 42.4	2019/9/17 10:18:22 	9 m			12 m	0:00:01		
Trackpoint	N23 6 28.4 E113 19 42.3	2019/9/17 10:18:23 	8 m			12 m	0:00:01		
Trackpoint	N23 6 28.0 E113 19 42.3	2019/9/17 10:18:24 	8 m			12 m	0:00:01		
Trackpoint	N23 6 27.6 E113 19 42.3	2019/9/17 10:18:25 	8 m			12 m	0:00:01		
Trackpoint	N23 6 27.2 E113 19 42.3	2019/9/17 10:18:26 	6 m			12 m	0:00:01		
Trackpoint	N23 6 26.8 E113 19 42.3	2019/9/17 10:18:27 	6 m			11 m	0:00:01		
Trackpoint	N23 6 26.5 E113 19 42.3	2019/9/17 10:18:28 	6 m			11 m	0:00:01		
Trackpoint	N23 6 26.2 E113 19 42.4	2019/9/17 10:18:29 	5 m			10 m	0:00:01		
Trackpoint	N23 6 25.9 E113 19 42.4	2019/9/17 10:18:30 	5 m			10 m	0:00:01		
Trackpoint	N23 6 25.6 E113 19 42.4	2019/9/17 10:18:31 	5 m			9 m	0:00:01		
Trackpoint	N23 6 25.3 E113 19 42.4	2019/9/17 10:18:32 	4 m			9 m	0:00:01		
Trackpoint	N23 6 24.6 E113 19 42.5	2019/9/17 10:18:35 	4 m			21 m	0:00:03		
Trackpoint	N23 6 23.9 E113 19 42.6	2019/9/17 10:18:38 	5 m			23 m	0:00:03		
Trackpoint	N23 6 23.6 E113 19 42.6	2019/9/17 10:18:39 	5 m			9 m	0:00:01		
Trackpoint	N23 6 23.3 E113 19 42.7	2019/9/17 10:18:40 	5 m			10 m	0:00:01		
